cmte_id,cand_id,,,cand_nm,recipient_nm, disb_amt ,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp,unused,serialid,FEC ID 
C00580100,P80001571,,,"Trump, Donald J.","CAMBRIDGE ANALYTICA, LLC","$100,000.00",7/29/16,ALEXANDRIA,VA,22314,DATA MANAGEMENT SERVICES,,,SB23,1104813,SB23.1615151,P2016,,231160,
C00580100,P80001571,,,"Trump, Donald J.","CAMBRIDGE ANALYTICA, LLC","$5,000,000.00",9/1/16,ALEXANDRIA,VA,22314,DATA MANAGEMENT,,,SB23,1111849,SB23.2464820,G2016,,231173,
C00580100,P80001571,,,"Trump, Donald J.","CAMBRIDGE ANALYTICA, LLC","$250,000.00",8/18/16,ALEXANDRIA,VA,22314,DATA MANAGEMENT,,,SB23,1100920,SB23.2140640,G2016,,231221,
,,,,,,,,,,,,,,,,,,,,
,,,,,,"$11,843,617.32",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
C00304758,S0MO00183,,,FRIENDS OF ROY BLUNT,CAMBRIDGE ANALYTICA,"$12,000.00",,1211 AVENUE OF THE AMERICAS,,SUITE 2703,DATA SERVICES,http://docquery.fec.gov/cgi-bin/fecimg/?201602030200055637,,,,SB02221656371040,,,,
,,,,KEEP THE PROMISE 2,CAMBRIDGE ANALYTICA,"$500,000.00",12/5/15,ALEXANDRIA,VA,22314,CAMPAIGN RESEARCH SERVICES,,,,,ÊSB21B.4114,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$6,000.00",9/6/16,ALEXANDRIA,VA,22314,WEB SERVICES,,,,,ÊSB985301,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$301,763.00",9/1/16,ALEXANDRIA,VA,22314,CAMPAIGN MANAGEMENT CONSULTING SERVICES,,,,,SB985301303220,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$1,870.00",9/2/16,ALEXANDRIA,VA,22314,WEB SERVICES,,,,,SB985301303284332,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$(110,000.00)",9/20/16,ALEXANDRIA,VA,22314,MEDIA,,,,,SB985301303284332_E,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$110,000.00",8/26/16,ALEXANDRIA,VA,22314,MEDIA,,,,,SE783023023,"ORIGINALLY REPORTED ON L21B, SCH. B, M9 FEC REPORT",,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$11,000.00",9/9/16,ALEXANDRIA,VA,22314,MEDIA,,,,,SE78302302363020,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$200,000.00",9/13/16,ALEXANDRIA,VA,22314,MEDIA,http://docquery.fec.gov/pdf/851/201609159030826851/201609159030826851.pdf,,,,SE78302302330303,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$16,500.00",9/26/16,ALEXANDRIA,VA,,,http://docquery.fec.gov/cgi-bin/forms/C00575373/1099265/se,,,,SE7830230288888,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$100,000.00",9/16/16,ALEXANDRIA,VA,,,http://docquery.fec.gov/pdf/607/201609229032101607/201609229032101607.pdf,,,,ÊSE7830230200000445,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$75,000.00",9/16/16,ALEXANDRIA,VA,,,http://docquery.fec.gov/pdf/607/201609229032101607/201609229032101607.pdf,,,,SE78302302335753,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$75,000.00",9/16/16,ALEXANDRIA,VA,,,http://docquery.fec.gov/pdf/607/201609229032101607/201609229032101607.pdf,,,,SE783020202020114,,,,
,,,,KEEP THE PROMISE 1,CAMBRIDGE ANALYTICA,"$126,375.00",,BEVERLY HILLS,CA,90211,,,,,,SB29.5195,,,,
,,,,ESAFUND (ART ROBINSON),CAMBRIDGE ANALYTICA,"$295,000.00",10/24/14,NEW YORK,NY,,ONLINE ADVERTISING,,,,,,,,,
,S0NH00219,,vsJeanne Shaheen,B-PAC,CAMBRIDGE ANALYTICA,"$125,000.00",12/22/14,NEW YORK,NY,10036,WEB ADS,http://docquery.fec.gov/cgi-bin/forms/C00567982/969078/se,,,,,,,,
,,,Kelli Ward,KelliPAC,CAMBRIDGE ANALYTICA,"$450,000.00",8/10/16,ALEXANDRIA,VA,22314,"Analytics, TV Media Purchase",,,,,SE.4354,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$11,000.00",10/3/16,ALEXANDRIA,VA,22314,MEDIA,http://docquery.fec.gov/pdf/179/201610089032216179/201610089032216179.pdf,,,,SE1,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$190,000.00",10/5/16,ALEXANDRIA,VA,22314,MEDIA,http://docquery.fec.gov/pdf/179/201610089032216179/201610089032216179.pdf,,,,SE2,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$111,072.00",10/6/16,ALEXANDRIA,VA,22314,MEDIA,http://docquery.fec.gov/pdf/179/201610089032216179/201610089032216179.pdf,,,,SE3,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$200,000.00",10/6/16,ALEXANDRIA,VA,22314,MEDIA,http://docquery.fec.gov/pdf/179/201610089032216179/201610089032216179.pdf,,,,SE4,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$92,495.07",6/3/16,BEVERLY HILLS,CA,90211,SURVEY RESEARCH,http://docquery.fec.gov/cgi-bin/forms/C00575373/1089488/sb/21B,,,,,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$118,208.54",12/10/15,BEVERLY HILLS,CA,90211,MEDIA - PREPAID,http://docquery.fec.gov/cgi-bin/forms/C00575373/1047310/sb/29,,,,,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$100,000.00",11/4/16,ALEXANDRIA,VA,22314,MEDIA,http://docquery.fec.gov/cgi-bin/forms/C00575373/1124142/se,,,,,,,,
,S4IA00129,,Joni Ernst,"JOBS, FREEDOM, AND SECURITY PAC",CAMBRIDGE ANALYTICA,"$133,333.35",10/23/14,BEVERLY HILLS,CA,90211,WEB SERVICE / DIGITAL ADV,http://docquery.fec.gov/cgi-bin/forms/C00536540/979051/sb/21B,,,,,,,,
,S4NH00120,,Sctott Brown,"JOBS, FREEDOM, AND SECURITY PAC",CAMBRIDGE ANALYTICA,"$133,333.33",10/24/14,BEVERLY HILLS,CA,90211,WEB SERVICE / DIGITAL ADV,http://docquery.fec.gov/cgi-bin/forms/C00536540/979051/se,,,,,,,,
,,,,JOHN BOLTON SUPER PAC,CAMBRIDGE ANALYTICA,"$202,350.00",8/27/14,NEW YORK,NY,10036,RESEARCH,http://docquery.fec.gov/cgi-bin/forms/C00542464/958966/sb/21B,,,,,,,,
,,,,JOHN BOLTON SUPER PAC,CAMBRIDGE ANALYTICA,"$113,675.00",9/19/14,NEW YORK,NY,10036,RESEARCH,http://docquery.fec.gov/cgi-bin/forms/C00542464/958966/sb/21B,,,,,,,,
,SB02221656371040,,,RICK KOZELL FOR CONGRESS,CAMBRIDGE ANALYTICA,"$1,500.00",8/4/16,BEVERLY HILLS,CA,90211,RESEARCH,http://docquery.fec.gov/cgi-bin/forms/C00579102/1095010/sb/17,,,,,,,,
,SB02221656371040,,,RICK KOZELL FOR CONGRESS,CAMBRIDGE ANALYTICA,"$1,500.00",8/4/16,BEVERLY HILLS,CA,90211,RESEARCH,http://docquery.fec.gov/cgi-bin/forms/C00579102/1095010/sb/17,,,,,,,,
,SB02221656371040,,,RICK KOZELL FOR CONGRESS,CAMBRIDGE ANALYTICA,"$1,500.00",7/15/16,BEVERLY HILLS,CA,90211,RESEARCH,http://docquery.fec.gov/cgi-bin/forms/C00579102/1095010/sb/ALL,,,,,,,,
C00575373,,,,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$256,157.00",7/27/16,BEVERLY HILLS,CA,90211,MEDIA,http://docquery.fec.gov/pdf/363/201607299021962363/201607299021962363.pdf,,,,,,,,
C00575373,P60006723,,vs.Rubio,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$2,538.00",1/16/16,BEVERLY HILLS,CA,90211,MEDIA,http://docquery.fec.gov/cgi-bin/forms/C00575373/1040327/se,,,,,,,,
C00575373,P80001571,,DJT,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$1,015.00",1/30/16,BEVERLY HILLS,CA,90211,MEDIA,http://docquery.fec.gov/cgi-bin/forms/C00575373/1047109/se,,,,,,,,
